Back,Dashboard 2. Life-course gender gap ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Country groupings (terciles),,,,,,,,,,,,,,,,,,,,,,,,,,
,Top third,Middle third,,Bottom third,,,,,,,,,,,,,,,,,,,,,,,
,"Three-colour coding is used to visualize partial grouping of countries by indicator. For each indicator countries are divided into three groups of approximately equal size (terciles): the top third, the middle third and the bottom third. Aggregates are colour coded using the same tercile cutoffs. See Notes after the table.",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,SDG 4.2,,SDG 4.1,,SDG 4.1,,SDG 8.5,,SDG 4.4,,SDG 8.5,,SDG 8.3,,SDG 5.5,,SDG 5.5,,SDG 5.4,,,,SDG 1.3,
,,Childhood and youth,,,,,,,,,,Adulthood,,,,,,,,,,,,,,Older age,
,,,,Gross enrolment ratio,,,,,,,,,,,,,,,,,,,,,,,
,,Sex ratio at birth,a,(female to male ratio),,,,,,Youth unemployment rate,,Population with at least some secondary education,,Total unemployment rate,,"Share of employment in nonagriculture, female ",,Share of seats held by women,,,,Time spent on unpaid domestic chores and care work,,,,Old-age pension recipients,
,,,,,,,,,,,,,,,,,,In parliament,,In local government,,Women ages 15 and older,,,,,
HDI rank,Country,(male to female births),,Pre-primary,,Primary,,Secondary,,(female to male ratio),,(female to male ratio),,(female to male ratio),,(% of total employment in nonagriculture),,(%),,,, (% of 24-hour day),,(female to male ratio),,(female to male ratio),
,,2015–2020,b,2014–2019,c,2014–2019,c,2014–2019,c,2019,,2015–2019,c,2019,,2019,,2019,,2017–2019,c,2008–2018,c,2008–2018,c,2014–2019,c
,Very high human development,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Norway,1.06,,1.00,,1.00,,0.96,,0.98,,1.01,,0.94,,47.5,,40.8,,40.8,,15.3,,1.2,,0.87,
2,Ireland,1.06,,0.99,,1.00,,0.98,,0.69,,1.02,,0.91,,47.5,,24.3,,23.9,,..,,..,,0.61,
2,Switzerland,1.05,,0.99,,0.99,,0.96,,0.64,,0.99,,1.08,,46.9,,38.6,,31.3,,16.8,,1.6,,1.04,
4,"Hong Kong, China (SAR)",1.08,,1.05,,1.04,,0.97,,0.83,,0.93,,0.79,,49.7,,..,,..,,10.8,,3.3,,..,
4,Iceland,1.05,,1.03,,1.00,,0.99,,0.80,,1.00,,1.00,,48.5,,38.1,,47.0,,..,,..,,1.12,
6,Germany,1.05,,0.99,,1.00,,0.94,,0.80,,1.00,,0.81,,46.7,,31.6,,27.5,,15.9,d,1.6,d,1.00,
7,Sweden,1.06,,0.99,,1.01,,1.07,,0.85,,1.00,,0.93,,48.2,,47.3,,43.8,,16.0,,1.3,,1.00,
