Back,Dashboard 4. Environmental sustainability,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Country groupings (terciles),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Top third,Middle third,,Bottom third,,,,,,,,,,,,,,,,,,,,,,,,,
,"Three-colour coding is used to visualize partial grouping of countries by indicator. For each indicator countries are divided into three groups of approximately equal size (terciles): the top third, the middle third and the bottom third. Aggregates are colour coded using the same tercile cutoffs. See Notes after the table.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SDG 12.c,,SDG 9.4,,SDG 9.4,,SDG 15.1,,,,SDG 6.4,,,,,,"SDG 8.4, 12.2",,SDG 3.9,,SDG 3.9,,"SDG 1.5, 11.5, 13.1",,SDG 15.3,,SDG 15.5,
,,,,,,,,,,,,,,,,,,,,Environmental threats,,,,,,,,,
,,,,Carbon dioxide emissions,,,,,,,,,,Use of fertilizer nutrient per area of cropland,,,,,,Mortality rate attributed to,,,,,,,,,
,,Fossil fuel energy consumption ,,Production emissions per capita,,Per unit of GDP,,Forest area ,,,,Fresh water withdrawals ,,Nitrogen (N),, Phosphorus (expressed as P2O5),,Domestic material consumption per capita,,Household and ambient air pollution,,"Unsafe water, sanitation and hygiene services",,Number of deaths and missing persons attributed to disasters,,Degraded land,,Red List Index,
HDI rank,Country, (% of total energy consumption),,(tonnes),,(kg per 2010 US$ of GDP),,(% of total land area),a,Change (%),,(% of total renewable water resources),,(kg per hectare),,,,(tonnes),," (per 100 000 population, age-standardized)",," (per 100,000 population)",," (per 100,000 population)",, (% of total land area),,(value),
,,2013–2015,b,2018,,2017,,2016,,1990/2016,,2007–2017,b,2018,,2018,,2017,,2016,,2016,,2009–2019,b,2015,,2019,
,Very high human development,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Norway,57.0,,8.3,,0.11,,33.2,,-0.1,,0.8,,127.0,,25.3,,21.8,,9,,0.2,,4.4,,..,,0.939,
2,Ireland,85.3,,8.1,,0.11,,11.0,,63.4,,1.5,,..,,..,,13.5,,12,,0.1,,0.1,,..,,0.915,
2,Switzerland,50.2,,4.3,,0.08,,31.8,,9.3,,3.8,,105.2,,33.5,,13.7,,10,,0.1,,3.7,,..,,0.975,
4,"Hong Kong, China (SAR)",93.2,,5.9,,0.11,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.831,
4,Iceland,11.3,,10.8,,0.13,,0.5,,213.7,,0.2,,97.1,,16.9,,14.9,,9,,0.1,,..,,..,,0.863,
6,Germany,78.9,,9.1,,0.20,,32.7,,1.0,,15.9,,112.5,,16.9,,14.7,,16,,0.6,,..,,..,,0.984,
7,Sweden,25.1,,4.1,,0.08,,68.9,,0.8,,1.4,,72.1,,12.8,,16.9,,7,,0.2,,0.0,,..,,0.992,
