Back,Table 13. Human and capital mobility,,,,, ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,SDG 17.3,,,,SDG 17.2,,SDG 17.3,,,,,,,,SDG 8.9,,"SDG 17.6, 17.8",,,,SDG 9.c,,,
,,Trade,,Financial flows,,,,,,,,Human mobility,,,,,,,,Communication,,,,,,,
,,,,,,,,,,,,,,,,,,,,Internet users,,,,,,,
,,Exports and imports,,"Foreign direct investment, net inflows",,"Private capital flows
 ",,Net official development assistance received,,"Remittances, inflows",,Net migration rate,,Stock of immigrants ,,International student mobility,,International inbound tourists,,Total,,Female,,Mobile phone subscriptions,,,
HDI rank,Country,(% of GDP),,(% of GDP),,(% of GDP),,(% of GNI),,(% of GDP),,"(per 1,000 people)",,(% of population),,(% of total tertiary enrolment),,(thousands),,(% of population),,(% of female population),,(per 100 people),,(% change),
,,2019,a,2019,a,2019,a,2018,b,2019,a,2015/2020,c,2019,,2010-2017,d,2018,b,2018,,2018,,2018,,2010–2018,
,Very high human development,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Norway,72.1,,0.4,,3.2,,..,,0.15,,5.3,e,16.1,e,-3.1,,"5,688",,96.5,,97.0,,107.2,,-7.4,
2,Ireland,239.2,,-20.4,,-4.9,,..,,0.15,,4.9,,17.1,,2.2,,"10,926",,84.5,,85.7,,103.2,,-0.1,
2,Switzerland,119.4,,-2.6,,4.7,,..,,0.36,,6.1,,29.9,,13.0,,"10,362",,89.7,,88.5,,129.6,,6.1,
4,"Hong Kong, China (SAR)",352.8,,14.5,,8.6,,..,,0.12,,4.0,,39.6,,-0.7,,"29,263",,89.4,,88.0,,259.4,,61.4,
4,Iceland,85.9,,-1.8,,6.4,,..,,0.63,,1.1,,15.5,,-7.8,,"2,344",,99.0,,99.4,,126.1,,19.7,
6,Germany,88.1,,1.3,,4.4,,..,,0.43,,6.6,,15.7,,4.4,,"38,881",,89.7,,84.2,,129.3,,20.0,
7,Sweden,90.5,,4.6,,2.5,,..,,0.60,,4.0,,20.0,,2.9,,"7,440",,92.1,,93.7,,125.1,,8.1,
8,Australia,45.7,,2.8,,0.3,,..,,0.12,,6.4,f,30.0,f,20.7,,"9,246",,86.5,,86.1,,113.6,,12.0,
8,Netherlands,154.3,,3.1,,11.9,,..,,0.26,,0.9,,13.4,,8.9,,"18,780",,94.7,,94.6,,124.3,,9.3,
