Back,Table 3. Inequality-adjusted Human Development Index ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,SDG10.1,,,,,,,
,,Human Development Index (HDI),,Inequality-adjusted HDI (IHDI),,,,,,Coefficient of human inequality,,Inequality in life expectancy,,Inequality-adjusted life expectancy index,,Inequality in education,a,Inequality-adjusted education index,,Inequality in income,a,Inequality-adjusted income index,,Income shares held by (%),,,,,,,
HDI rank,Country,Value,,Value,,Overall loss (%),,Difference from HDI rank,b,,,(%),,Value,,(%),,Value,,(%),,Value,,Poorest 40 percent,,Richest 10 percent,, Richest 1 percent,,Gini coefficient,
,,2019,,2019,,2019,,2019,,2019,,2015–2020,c,2019,,2019,d,2019,,2019,d,2019,,2010-2018,e,2010-2018,e,2010-2017,e,2010-2018,e
,Very high human development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Norway,0.957,,0.899,,6.1,,0,,6.0,,3.0,,0.931,,2.3,,0.908,,12.6,,0.858,,23.2,,21.6,,9.4,,27.0,
2,Ireland,0.955,,0.885,,7.3,,-3,,7.2,,3.4,,0.926,,3.3,,0.892,,15.0,,0.838,,20.5,,25.9,,11.3,,32.8,
2,Switzerland,0.955,,0.889,,6.9,,-1,,6.8,,3.5,,0.947,,1.8,,0.883,,14.9,,0.841,,20.2,,25.5,,10.6,,32.7,
4,"Hong Kong, China (SAR)",0.949,,0.824,,13.2,,-17,,12.6,,2.5,,0.973,,9.8,,0.793,,25.6,,0.724,,..,,..,,..,,..,
4,Iceland,0.949,,0.894,,5.8,,2,,5.6,,2.4,,0.946,,2.8,,0.900,,11.7,,0.841,,23.7,,22.5,,7.6,,26.8,
6,Germany,0.947,,0.869,,8.2,,-4,,7.9,,3.8,,0.908,,2.3,,0.922,,17.7,,0.786,,20.4,,24.6,,12.5,,31.9,
7,Sweden,0.945,,0.882,,6.7,,0,,6.5,,2.9,,0.938,,3.7,,0.884,,13.0,,0.828,,22.2,,22.3,,9.0,,28.8,
8,Australia,0.944,,0.867,,8.2,,-3,,7.9,,3.7,,0.940,,2.7,,0.899,,17.3,,0.771,,19.6,,27.0,,9.1,,34.4,
8,Netherlands,0.944,,0.878,,7.0,,0,,6.9,,3.1,,0.928,,5.4,,0.865,,12.2,,0.843,,22.6,,23.3,,6.2,,28.5,
10,Denmark,0.940,,0.883,,6.1,,4,,6.0,,3.6,,0.903,,2.9,,0.894,,11.4,,0.853,,22.8,,24.0,,10.7,,28.7,
11,Finland,0.938,,0.888,,5.3,,7,,5.3,,3.0,,0.924,,2.2,,0.907,,10.6,,0.835,,23.4,,22.6,,10.1,,27.4,
11,Singapore,0.938,,0.813,,13.3,,-15,,12.8,,2.5,,0.954,,11.0,,0.751,,25.0,,0.750,,..,,..,,14.0,,..,
13,United Kingdom,0.932,,0.856,,8.2,,-3,,7.9,,4.1,,0.905,,2.7,,0.902,,17.0,,0.769,,19.0,,26.8,,12.6,,34.8,
14,Belgium,0.931,,0.859,,7.7,,1,,7.7,,3.6,,0.914,,8.2,,0.828,,11.4,,0.837,,22.9,,21.9,,7.8,,27.4,
14,New Zealand,0.931,,0.859,,7.7,,1,,7.5,,4.3,,0.917,,1.8,,0.909,,16.4,,0.759,,..,,..,,8.7,,..,
16,Canada,0.929,,0.848,,8.7,,-1,,8.4,,4.6,,0.916,,2.7,,0.870,,18.1,,0.766,,19.1,,25.1,,13.6,,33.8,
17,United States,0.926,,0.808,,12.7,,-11,,12.1,,6.3,,0.848,,2.8,,0.875,,27.1,,0.711,,15.4,,30.5,,20.5,,41.4,
18,Austria,0.922,,0.857,,7.0,,3,,6.9,,3.7,,0.912,,2.9,,0.840,,14.1,,0.821,,21.3,,23.0,,9.3,,29.7,
19,Israel,0.919,,0.814,,11.4,,-6,,10.9,,3.3,,0.937,,5.7,,0.833,,23.7,,0.691,,15.7,,27.7,,..,,39.0,
19,Japan,0.919,,0.843,,8.3,,1,,8.1,,2.9,,0.965,,4.7,,0.812,,16.7,,0.763,,20.5,,26.4,,10.4,,32.9,
