Back,Dashboard 3. Women's empowerment,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Country groupings (terciles),,,,,,,,,,,,,,,,,,,,,,,,,,
,Top third,Middle third,,Bottom third,,,,,,,,,,,,,,,,,,,,,,,
,"Three-colour coding is used to visualize partial grouping of countries by indicator. For each indicator countries are divided into three groups of approximately equal size (terciles): the top third, the middle third and the bottom third. Aggregates are colour coded using the same tercile cutoffs. See Notes after the table.",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,SDG 3.1,,"SDG 3.7, 5.6",,SDG 5.6,,SDG 5.3,,SDG 5.3,,SDG 5.2,,SDG 5.2,,,,,,SDG 5.5,,,,SDG 1.3,
,,Reproductive health and family planning,,,,,,,,Violence  against girls and women,,,,,,,,Socioeconomic empowerment,,,,,,,,,
,,,,,,,,,,Child marriage,,,,Violence against women ever experienced,,,a,,,,,,,,,,
,,"Antenatal care coverage, at least one visit ",,Proportion of births attended by skilled health personnel,,"Contraceptive prevalence, any method ",,Unmet need for family planning,,Women married by age 18 ,,"Prevalence of female
genital
mutilation/
cutting
among girls and women",,Intimate partner,,Nonintimate partner,,"Share of graduates in science,
technology,
engineering
and
mathematics programmes at tertiary level, female",,"Share of graduates from science,
technology,
engineering
and
mathematics programmes in tertiary education who are female",,Female share of employment in senior and middle management ,,Women with account at financial institution or with mobile money-service provider,,Mandatory paid maternity leave,
HDI rank,Country,(%),,(%),,"(% of married or in-union women of reproductive age, 15–49 years)",,,,(% of women ages 20–24 who are married or in union),,(% of girls and women ages 15–49),,(% of female population ages 15 and older),,,,(%),,(%),,(%),,(% of female population ages 15 and older),,(days),
,,2009–2019,b,2014–2019,b,2009–2019,b,2009–2019,b,2005–2019,b,2004–2018,b,2005–2019,b,2005–2019,b,2009–2019,b,2009–2019,b,2009–2019,b,2017,,2019,
,Very high human development,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Norway,..,,99.2,,..,,..,,..,,..,,27.0,,..,,10.9,,28.5,,32.8,,100.0,,..,
2,Ireland,..,,99.7,,73.3,,..,,..,,..,,15.0,,5.0,,14.1,,29.0,,31.3,,95.3,,182,
2,Switzerland,..,,..,,71.6,,..,,..,,..,,..,,..,,11.4,,22.3,,32.5,,98.9,,98,
4,"Hong Kong, China (SAR)",..,,..,,66.7,,..,,..,,..,,..,,..,,..,,..,,..,,94.7,,70,
4,Iceland,..,,98.2,,..,,..,,..,,..,,22.4,,..,,10.3,,35.2,,44.0,,..,,90,
6,Germany,..,,98.8,,80.3,,..,,..,,..,,22.0,,7.0,,19.2,,27.6,,28.6,,99.2,,98,
7,Sweden,..,,..,,..,,..,,..,,..,,28.0,,12.0,,15.7,,35.5,,41.9,,100.0,,..,
