Back,Table 11. Work and employment,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,SDG9.2,,SDG9.2,,SDG8.5,,SDG8.5,,SDG8.6,,SDG8.7,,SDG1.1,,SDG8.3,,SDG8.3,,,,SDG1.3,
,,Employment,,,,,,,,Unemployment ,,,,,,Work that is a risk to human development,,,,,,,,Skill-level employment,,Employment-related social security,
,,Employment to population ratio,a,Labour force participation rate,a,Employment in agriculture ,a,Employment in services ,a,Total,a,Youth,a,Youth not in school or employment,,Child labour,,Working poor at PPP$3.20 a day,a,Proportion of informal employment in nonagricultural employment,,,,High-skill to low-skill ratio,,Old-age pension recipients,b
,,,,,,,,,,,,,,,,,,,,,,Female,,,,,
HDI rank,Country,(% ages 15 and older),,,,(% of total employment),,,,(% of labour force),,(% ages 15-24),,,, (% ages 5-17),, (% of total employment),,(% of total employment in nonagriculture),,,,(employment ratio),, (% of statutory pension age population),
,,2019,,2019,,2019,,2019,,2019,,2019,,2019,c,2010-2019,c,2019,,2011-2019,c,2011-2019,c,2009-2019,c,2014-2019,c
,Very high human development,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Norway,61.7,,63.8,,2.1,,78.7,,3.3,,9.3,,4.6,,..,,..,,..,,..,,14.71,,98.8,
2,Ireland,59.0,,62.1,,4.6,,76.7,,4.9,,13.1,,10.0,,..,,..,,..,,..,,5.12,,100.0,
2,Switzerland,65.1,,68.3,,2.9,,76.8,,4.6,,7.4,,6.1,,..,,..,,..,,..,,9.78,,99.7,
4,"Hong Kong, China (SAR)",57.9,,60.1,,0.2,,88.2,,3.6,,10.0,,6.4,,..,,0.1,,..,,..,,1.93,,..,
4,Iceland,72.9,,75.0,,3.9,,79.6,,2.8,,7.8,,4.7,,..,,..,,..,,..,,9.39,,80.0,
6,Germany,59.0,,60.8,,1.2,,71.7,,3.0,,5.4,,5.4,,..,,..,,..,,..,,5.93,,100.0,
7,Sweden,60.4,,64.6,,1.6,,80.4,,6.5,,17.8,,6.5,,..,,..,,..,,..,,11.81,,100.0,
8,Australia,62.1,,65.5,,2.6,,77.6,,5.3,,12.1,,8.4,,..,,..,,..,,..,,5.78,,71.3,
8,Netherlands,61.6,,63.6,,2.0,,82.0,,3.2,,6.4,,3.1,,..,,..,,..,,..,,5.69,,99.0,
10,Denmark,59.2,,62.2,,2.2,,79.3,,4.9,,9.8,,7.3,,..,,..,,..,,..,,4.70,,99.2,
11,Finland,55.2,,59.1,,3.6,,74.2,,6.6,,16.3,,8.2,,..,,..,,..,,..,,7.82,,100.0,
11,Singapore,67.6,,70.5,,0.7,,83.8,,4.1,,9.3,,4.5,,..,,0.1,,..,,..,,8.02,,48.9,
13,United Kingdom,60.4,,62.8,,1.0,,81.1,,3.9,,11.3,,10.8,,..,,..,,..,,..,,6.18,,100.0,
14,Belgium,50.6,,53.6,,1.0,,78.2,,5.6,,15.7,,8.7,,..,,..,,..,,..,,4.81,,100.0,
14,New Zealand,67.1,,69.9,,5.7,,74.8,,4.1,,11.2,,11.5,,..,,..,,..,,..,,..,,100.0,
16,Canada,61.5,,65.1,,1.5,,79.1,,5.6,,10.8,,12.9,,..,,..,,..,,..,,5.47,,100.0,
17,United States,59.8,,62.0,,1.3,,78.9,,3.7,,8.5,,13.8,,..,,..,,..,,..,,4.85,,100.0,
18,Austria,57.8,,60.7,,3.6,,71.2,,4.7,,8.4,,6.3,,..,,..,,..,,..,,5.10,,100.0,
19,Israel,61.6,,64.0,,0.9,,82.1,,3.9,,7.3,,15.2,,..,,..,,..,,..,,9.38,,100.0,
19,Japan,60.3,,61.7,,3.4,,72.3,,2.3,,3.7,,3.0,,..,,..,,..,,..,,3.48,,100.0,
19,Liechtenstein,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,
22,Slovenia,55.9,,58.4,,5.2,,61.3,,4.2,,9.1,,6.8,,..,,..,,..,,..,,7.27,,100.0,
23,Korea (Republic of),60.4,,63.0,,4.9,,70.0,,4.1,,11.0,,13.6,,..,,0.0,,..,,..,,3.03,,100.0,
23,Luxembourg,56.1,,59.3,,1.0,,87.3,,5.4,,14.9,,5.5,,..,,..,,..,,..,,7.94,,100.0,
25,Spain,49.5,,57.5,,4.1,,75.6,,14.0,,32.9,,12.4,,..,,..,,..,,..,,2.68,,100.0,
26,France,50.5,,55.1,,2.4,,77.5,,8.4,,19.1,,10.2,,..,,..,,..,,..,,4.98,,100.0,
27,Czechia,59.4,,60.6,,2.7,,60.0,,1.9,,6.4,,5.8,,..,,..,,..,,..,,6.19,,100.0,
28,Malta,54.6,,56.5,,1.0,,80.7,,3.5,,8.2,,7.1,,..,,..,,..,,..,,5.45,,100.0,
29,Estonia,60.3,,63.6,,3.2,,67.3,,5.1,,12.6,,10.5,,..,,..,,..,,..,,5.64,,100.0,
29,Italy,44.7,,49.6,,3.7,,70.4,,9.9,,29.3,,18.8,,..,,..,,..,,..,,3.32,,100.0,
31,United Arab Emirates,80.2,,82.1,,1.4,,64.2,,2.3,,7.3,,11.2,,..,,0.4,,..,,..,,1.86,,27.0,
32,Greece,42.8,,51.8,,12.0,,72.8,,17.2,,35.1,,13.9,,..,,..,,..,,..,,4.30,,..,
33,Cyprus,58.5,,63.1,,2.1,,81.5,,7.3,,15.6,,10.8,,..,,..,,..,,..,,2.58,,94.3,
34,Lithuania,57.7,,61.6,,6.9,,67.2,,6.4,,12.4,,8.5,,..,,..,,..,,..,,4.63,,100.0,
35,Poland,54.7,,56.7,,9.2,,58.8,,3.5,,11.6,,8.8,,..,,..,,..,,..,,6.95,,100.0,
36,Andorra,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,
37,Latvia,57.4,,61.4,,6.8,,69.5,,6.5,,12.3,,8.3,,..,,..,,..,,..,,3.27,,100.0,
38,Portugal,55.1,,58.8,,5.9,,69.4,,6.3,,18.4,,8.0,,..,,..,,..,,..,,4.02,,100.0,
39,Slovakia,56.2,,59.5,,2.2,,61.6,,5.6,,16.2,,11.2,,..,,..,,..,,..,,4.92,,100.0,
40,Hungary,54.5,,56.5,,4.7,,62.6,,3.4,,11.1,,11.5,,..,,..,,..,,..,,3.74,,100.0,
40,Saudi Arabia,52.6,,55.9,,2.4,,72.9,,5.9,,28.6,,16.0,,..,,0.1,,..,,..,,..,,5.1,
42,Bahrain,72.8,,73.4,,1.0,,63.8,,0.7,,4.6,,18.0,,..,,..,,..,,..,,0.61,,..,
43,Chile,58.2,,62.6,,9.0,,68.8,,7.1,,19.0,,16.4,,5.9,,0.5,,27.8,,29.7,,1.37,,100.0,
43,Croatia,47.6,,51.2,,6.0,,66.5,,6.9,,17.8,,12.3,,..,,..,,..,,..,,4.28,,57.6,
45,Qatar,86.7,,86.8,,1.2,,44.4,,0.1,,0.4,,10.5,,..,,0.1,,..,,..,,0.96,,13.1,
46,Argentina,55.3,,61.3,,0.1,,78.5,,9.8,,25.3,,19.2,,..,,0.7,,49.4,,49.4,,1.56,,100.0,
47,Brunei Darussalam,58.8,,64.7,,1.4,,82.8,,9.1,,30.0,,21.0,,..,,0.2,,30.7,,28.9,,2.45,,90.9,
48,Montenegro,46.3,,54.4,,7.9,,73.0,,14.9,,30.7,,15.7,,9.4,,0.3,,..,,..,,4.52,,52.3,
49,Romania,52.5,,54.7,,21.7,,48.2,,4.0,,15.4,,14.7,,..,,..,,..,,..,,2.47,,100.0,
50,Palau,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,2.08,,100.0,
51,Kazakhstan,65.6,,68.8,,15.8,,63.7,,4.6,,3.9,,10.5,,..,,0.1,,..,,..,,1.87,,82.6,
52,Russian Federation,59.0,,61.8,,5.8,,67.6,,4.6,,16.1,,15.3,,..,,0.1,,..,,..,,5.47,,100.0,
53,Belarus,61.2,,64.1,,11.0,,58.5,,4.6,,9.7,,10.8,,1.0,,0.2,,..,,..,,5.11,,100.0,
54,Turkey,45.7,,52.8,,18.4,,55.3,,13.5,,23.7,,25.7,,..,,0.4,,..,,..,,1.60,,100.0,
55,Uruguay,58.4,,64.0,,8.1,,73.0,,8.7,,27.1,,18.4,,4.2,,0.1,,23.7,,23.2,,1.23,,100.0,
56,Bulgaria,53.0,,55.4,,6.4,,63.5,,4.3,,9.9,,15.8,,..,,..,,..,,..,,2.61,,100.0,
57,Panama,64.0,,66.6,,14.0,,67.3,,3.9,,10.0,,15.8,,2.6,,2.3,,46.7,,46.8,,1.29,,..,
58,Bahamas,66.8,,74.6,,2.1,,83.6,,10.4,,23.5,,22.9,,..,,0.2,,..,,..,,2.04,,..,
58,Barbados,58.5,,65.2,,2.6,,78.3,,10.3,,30.2,,25.3,,1.4,,0.3,,..,,..,,1.81,,..,
60,Oman,70.4,,72.4,,4.6,,62.7,,2.7,,13.2,,19.8,,..,,0.2,,..,,..,,..,,..,
61,Georgia,58.5,,68.3,,41.8,,44.3,,14.4,,30.5,,25.9,,1.6,,12.1,,..,,..,,3.86,,100.0,
62,Costa Rica,54.7,,62.1,,12.1,,68.1,,11.9,,30.5,,19.6,,1.7,,0.7,,36.9,,42.7,,0.94,,47.1,
62,Malaysia,62.2,,64.3,,10.4,,62.6,,3.3,,11.3,,12.1,,..,,0.0,,..,,..,,2.20,,19.8,
64,Kuwait,71.9,,73.5,,2.0,,73.6,,2.2,,15.8,,27.0,,..,,0.6,,..,,..,,0.82,,41.9,
64,Serbia,47.9,,54.9,,15.5,,57.4,,12.7,,30.0,,17.5,,7.0,,0.2,,13.2,,11.3,,3.09,,..,
66,Mauritius,54.4,,58.3,,6.1,,68.6,,6.7,,23.9,,21.0,,..,,0.5,,52.4,,49.1,,1.56,,..,
,High human development,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Seychelles,..,,..,,..,,..,,..,,..,,..,,..,,..,,14.0,,8.7,,2.34,,..,
67,Trinidad and Tobago,58.3,,60.0,,3.0,,70.3,,2.7,,6.4,,26.3,,0.8,,0.6,,..,,..,,1.67,,..,
69,Albania,48.9,,55.7,,36.7,,43.3,,12.3,,28.1,,30.3,,3.3,,0.8,,32.2,,21.2,,3.40,,..,
70,Cuba,52.7,,53.6,,17.5,,65.6,,1.6,,4.2,,22.1,,..,,0.8,,..,,..,,3.98,,..,
70,Iran (Islamic Republic of),39.6,,44.7,,17.9,,51.5,,11.4,,27.4,,28.0,,..,,0.7,,..,,..,,1.47,,35.6,
72,Sri Lanka,51.7,,53.9,,24.5,,45.8,,4.2,,21.2,,30.3,,..,,6.7,,60.2,,51.3,,1.00,,38.4,
73,Bosnia and Herzegovina,37.8,,46.4,,15.4,,52.4,,18.4,,39.7,,21.2,,..,,0.1,,10.8,,7.8,,2.20,,..,
74,Grenada,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,
74,Mexico,58.6,,60.7,,12.6,,61.2,,3.4,,7.1,,18.6,,4.7,,8.3,,60.7,d,64.2,d,0.97,,100.0,
74,Saint Kitts and Nevis,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,
74,Ukraine,49.3,,54.2,,14.5,,61.0,,8.9,,18.8,,17.5,,3.2,,0.1,,..,,..,,1.97,,96.0,
78,Antigua and Barbuda,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,83.5,
79,Peru,75.1,,77.6,,27.4,,57.3,,3.3,,8.4,,16.9,,14.5,,9.5,,60.3,,67.0,,0.43,,49.4,
79,Thailand,66.8,,67.3,,31.6,,45.8,,0.8,,3.9,,14.3,,..,,0.1,,51.4,,52.5,,1.19,,82.0,
81,Armenia,46.2,,55.6,,29.6,,53.2,,17.0,,35.5,,36.5,,4.1,,6.2,,33.7,,21.0,,2.53,,100.0,
82,North Macedonia,45.3,,55.1,,15.4,,53.2,,17.8,,39.1,,23.1,,7.6,,0.1,,..,,..,,2.33,,71.4,
83,Colombia,62.1,,68.8,,16.6,,63.4,,9.7,,19.0,,23.0,,3.6,,5.2,,57.3,,59.7,,1.20,,71.1,
84,Brazil,56.2,,63.9,,9.2,,71.0,,12.1,,27.4,,23.8,,5.4,,3.8,,38.3,,36.9,,1.38,,100.0,
85,China,65.1,,68.0,,25.4,,46.4,,4.3,,10.3,,17.9,,..,,5.2,,..,,..,,..,,100.0,
86,Ecuador,65.3,,68.0,,29.2,,52.5,,4.0,,8.9,,18.9,,..,,7.8,,65.8,,67.3,,0.53,,52.0,
86,Saint Lucia,53.2,,67.1,,17.3,,64.5,,20.7,,45.2,,39.4,,3.3,,..,,26.2,,22.5,,1.37,,..,
88,Azerbaijan,62.8,,66.5,,35.9,,49.3,,5.5,,14.6,,13.0,,..,,0.1,,..,,..,,1.51,,100.0,
88,Dominican Republic,60.6,,64.3,,9.0,,71.1,,5.8,,13.5,,25.1,,7.0,,2.8,,51.1,,49.9,,0.88,,..,
90,Moldova (Republic of),40.7,,43.1,,35.9,,47.2,,5.5,,12.5,,27.9,,..,,0.3,,11.9,,7.0,,2.25,,75.2,
91,Algeria,36.3,,41.2,,9.9,,59.4,,11.7,,29.5,,21.1,,4.3,,1.3,,..,,..,,0.84,,..,
92,Lebanon,44.1,,47.0,,13.6,,63.9,,6.2,,17.6,,25.5,,..,,0.2,,..,,..,,..,,..,
93,Fiji,55.3,,57.6,,36.3,,50.4,,4.1,,14.8,,20.6,,..,,7.2,,..,,..,,1.70,,87.3,
94,Dominica,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,
95,Maldives,65.5,,69.8,,8.5,,73.1,,6.1,,16.8,,21.9,,..,,8.9,,47.0,,50.2,,3.40,,100.0,
95,Tunisia,38.7,,46.1,,13.0,,54.4,,16.0,,36.3,,24.8,,2.3,,0.9,,..,,..,,0.95,,54.0,
97,Saint Vincent and the Grenadines,53.4,,65.9,,10.7,,69.3,,18.9,,41.7,,28.6,,..,,..,,..,,..,,..,,..,
97,Suriname,47.4,,51.1,,7.5,,69.0,,7.3,,15.3,,26.3,,4.3,,14.4,,..,,..,,3.19,,..,
99,Mongolia,56.1,,59.7,,27.4,,53.2,,6.0,,16.3,,20.7,,14.7,,2.0,,31.5,,29.7,,2.86,,100.0,
100,Botswana,57.9,,70.8,,20.7,,61.2,,18.2,,37.4,,34.8,,..,,28.3,,..,,..,,0.59,,100.0,
101,Jamaica,60.7,,66.0,,15.9,,67.9,,8.0,,22.1,,31.0,,2.9,,3.3,,..,,..,,1.58,,30.3,
102,Jordan,33.5,,39.3,,3.1,,72.4,,14.7,,35.0,,32.5,,1.7,,1.4,,..,,..,,..,,46.6,
103,Paraguay,68.6,,72.1,,20.1,,61.7,,4.8,,11.4,,17.3,,17.9,,1.6,,63.4,,65.9,,0.91,,22.2,
104,Tonga,59.1,,59.8,,24.2,,46.7,,1.1,,3.6,,20.2,,..,,..,,73.6,,75.2,,3.85,,73.3,
105,Libya,40.5,,49.7,,18.9,,59.2,,18.6,,50.5,,31.8,,..,,0.4,,..,,..,,..,,..,
106,Uzbekistan,61.2,,65.1,,23.9,,46.6,,5.9,,11.6,,19.9,,..,,37.2,,..,,..,,..,,100.0,
107,Bolivia (Plurinational State of),69.3,,71.8,,30.7,,49.9,,3.5,,6.9,,11.2,,..,,10.0,,73.2,,75.2,,2.50,,100.0,
107,Indonesia,64.3,,67.5,,28.6,,48.9,,4.7,,17.0,,22.0,,..,,21.5,,74.7,,75.9,,0.65,,14.1,
107,Philippines,58.3,,59.6,,23.4,,57.2,,2.2,,6.2,,20.3,,..,,18.3,,..,,..,,0.79,,64.0,
110,Belize,60.9,,65.1,,16.8,,67.5,,6.4,,15.1,,26.9,,3.3,,7.1,,..,,..,,0.77,,..,
111,Samoa,40.0,,43.7,,30.4,,46.5,,8.4,,18.1,,37.4,,..,,..,,21.3,,20.6,,2.50,,100.0,
111,Turkmenistan,62.0,,64.5,,19.9,,37.7,,3.9,,8.3,,21.8,,0.3,,14.5,,..,,..,,..,,..,
