Back,Table 12. Human security,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SDG16.9,,"SDG1.5,11.5",,"SDG1.5,11.5",,"SDG1.5,11.5,13.1",,,,SDG16.3,,SDG16.1,,SDG3.4,,,,,,,,SDG2.1,,,
,,,, ,,,,,,,,,,,,Suicide rate,,,,Justification of wife beating,,,,Depth of food deficit,,,
,,Birth registration,,Refugees by country of origin ,,Internally displaced persons,,Homeless people due to natural disaster,,Orphaned children,,Prison population,,Homicide rate,,"(per 100,000 people)",,,,(% ages 15-19),,,,Average dietary energy supply adequacy,,,
HDI rank,Country,(% under age 5),,(thousands),,(thousands),,(average annual per million people),,(thousands),,"(per 100,000 people)",,"(per 100,000 people)",,Female,,Male,,Female,,Male,, (%),,,
,,2009-2019,a,2019,b,2019,,2009/2019,,2019,,2013-2018,a,2013-2018,a,2016,,2016,,2012-2019,a,2012-2019,a,2017/2019,,,
,Very high human development,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Norway,100,c,0.0,,..,,..,,..,,80,,0.5,,6.5,,13.6,,..,,..,,133,,,
2,Ireland,100,c,0.0,,..,,..,,34,,82,,0.9,,4.2,,17.6,,..,,..,,150,,,
2,Switzerland,100,c,0.0,,..,,..,,..,,77,,0.6,,6.9,,15.8,,..,,..,,134,,,
4,"Hong Kong, China (SAR)",..,,0.0,,..,,0,,..,,112,,0.7,,..,,..,,..,,..,,137,,,
4,Iceland,100,c,0.0,,..,,0,,..,,40,,0.9,,4.7,,21.7,,..,,..,,145,,,
6,Germany,100,,0.1,,..,,..,,..,,79,,0.9,,4.8,,13.6,,..,,..,,138,,,
7,Sweden,100,c,0.0,,..,,..,,..,,61,,1.1,,7.4,,15.8,,..,,..,,127,,,
8,Australia,100,c,0.0,,..,,55,,140,,173,,0.9,,6.0,,17.4,,..,,..,,134,,,
8,Netherlands,100,c,0.1,,..,,..,,100,,66,,0.6,,6.4,,12.9,,..,,..,,126,,,
10,Denmark,100,c,0.0,,..,,..,,..,,63,,1.0,,5.2,,13.2,,..,,..,,132,,,
11,Finland,100,c,..,,..,,..,,..,,54,,1.6,,6.8,,20.8,,..,,..,,132,,,
11,Singapore,100,,0.0,,..,,..,,17,,208,,0.2,,4.9,,11.1,,..,,..,,..,,,
13,United Kingdom,100,c,0.1,,..,,0,,..,,137,d,1.2,,3.5,,11.9,,..,,..,,137,,,
14,Belgium,100,c,0.0,,..,,..,,..,,88,,1.7,,9.4,,22.2,,..,,..,,148,,,
14,New Zealand,100,c,0.0,,..,,6,,33,,206,,0.7,,6.2,,17.3,,..,,..,,126,,,
16,Canada,100,c,0.1,,..,,18,,..,,108,,1.8,,5.8,,15.1,,..,,..,,139,,,
17,United States,100,c,0.3,,..,,51,,"3,310",e,663,,5.0,,6.4,,21.1,,..,,..,,148,,,
18,Austria,100,c,0.0,,..,,..,,..,,103,,1.0,,5.7,,17.5,,..,,..,,145,,,
19,Israel,100,c,0.5,,..,,..,,..,,231,,1.5,,2.4,,8.2,,..,,..,,152,,,
19,Japan,100,c,0.0,,..,,17,,..,,40,,0.3,,8.1,,20.5,,..,,..,,111,,,
19,Liechtenstein,100,c,0.0,,..,,..,,..,,166,,2.6,,..,,..,,..,,..,,..,,,
22,Slovenia,100,c,0.0,,..,,0,,..,,67,,0.5,,4.5,,22.4,,..,,..,,129,,,
23,Korea (Republic of),..,,0.2,,..,,4,,..,,106,,0.6,,11.6,,29.6,,..,,..,,139,,,
23,Luxembourg,100,c,0.0,,..,,..,,..,,108,,0.3,,5.8,,15.0,,..,,..,,128,,,
25,Spain,100,c,0.1,,..,,29,,250,,126,,0.6,,3.1,,9.3,,..,,..,,131,,,
26,France,100,c,0.1,,..,,0,,550,,106,,1.2,,6.5,,17.9,,..,,..,,142,,,
27,Czechia,100,c,1.2,,..,,0,,..,,202,,0.6,,4.2,,17.2,,..,,..,,128,,,
28,Malta,100,c,0.0,,..,,..,,..,,141,,1.6,,2.8,,10.3,,..,,..,,137,,,
29,Estonia,100,c,0.3,,..,,..,,..,,195,,2.1,,4.4,,25.6,,..,,..,,127,,,
29,Italy,100,c,0.1,,..,,114,,290,,101,,0.6,,2.6,,8.4,,..,,..,,139,,,
31,United Arab Emirates,100,,0.2,,..,,..,,..,,107,,0.5,,0.8,,3.5,,..,,..,,125,,,
32,Greece,100,c,0.1,,..,,3,,..,,101,,0.9,,1.5,,6.1,,..,,..,,133,,,
33,Cyprus,100,c,0.0,,228.0,,0,,..,,52,,1.3,,1.9,,7.2,,..,,..,,103,,,
34,Lithuania,100,c,0.1,,..,,..,,44,,232,,4.6,,6.7,,47.5,,..,,..,,138,,,
35,Poland,100,,1.0,,..,,0,,..,,192,,0.7,,3.4,,23.9,,..,,..,,140,,,
36,Andorra,100,c,0.0,,..,,..,,..,,64,,0.0,,..,,..,,..,,..,,..,,,
37,Latvia,100,c,0.1,,..,,..,,29,,183,,4.4,,5.1,,31.0,,..,,..,,128,,,
38,Portugal,100,c,0.0,,..,,28,,..,,127,,0.8,,3.8,,14.3,,..,,..,,139,,,
39,Slovakia,100,,1.3,,..,,0,,..,,189,,1.1,,2.6,,18.4,,..,,..,,108,,,
40,Hungary,100,c,4.0,,..,,0,,..,,175,,2.5,,6.2,,22.2,,..,,..,,127,,,
40,Saudi Arabia,..,,1.8,,..,,30,,..,,206,,1.3,,1.7,,4.6,,..,,..,,132,,,
42,Bahrain,100,,0.6,,..,,..,,..,,233,,0.5,,2.1,,7.9,,..,,..,,..,,,
43,Chile,99,,0.5,,..,,"4,264",,170,,246,,4.4,,3.8,,16.0,,..,,..,,122,,,
43,Croatia,100,,23.8,,..,,0,,37,,77,,0.6,,5.1,,18.8,,..,,..,,124,,,
45,Qatar,100,,0.0,,..,,..,,..,,47,,0.4,,1.1,,7.3,,6,f,22,,..,,,
46,Argentina,100,,0.1,,..,,4,,620,,194,,5.3,,3.5,,15.0,,2,,..,,134,,,
47,Brunei Darussalam,..,,0.0,,..,,..,,..,,136,,0.5,,2.8,,6.2,,..,,..,,130,,,
48,Montenegro,99,,0.7,,..,,..,,7,,179,,2.2,,3.6,,12.6,,2,,14,,140,,,
49,Romania,100,,1.4,,..,,0,,220,,107,,1.3,,2.4,,13.9,,..,,..,,140,,,
50,Palau,..,,0.0,,..,,"6,379",,..,,422,,11.2,,..,,..,,..,,..,,..,,,
51,Kazakhstan,100,,2.8,,..,,46,,450,,201,,5.1,,7.7,,40.1,,8,,..,,136,,,
52,Russian Federation,100,c,62.3,,1.8,,4,,..,,386,,8.2,,7.5,,48.3,,..,,..,,137,,,
53,Belarus,100,,3.4,,..,,0,,150,,344,,2.4,,6.2,,39.3,,3,,3,,135,,,
54,Turkey,98,,83.3,,"1,099.0",,40,,..,,322,,2.6,,3.2,,11.3,,10,,..,,149,,,
55,Uruguay,100,,0.0,,..,,0,,..,,297,,12.1,,7.1,,26.8,,3,,..,,131,,,
56,Bulgaria,100,,0.6,,..,,16,,80,,94,,1.3,,3.2,,13.1,,..,,..,,113,,,
57,Panama,96,,0.1,,..,,0,,..,,397,,9.4,,1.2,,7.6,,9,,..,,124,,,
58,Bahamas,..,,0.5,,..,,0,,..,,461,,32.0,,0.5,,2.8,,..,,..,,82,,,
58,Barbados,99,,0.2,,..,,0,,3,,296,,9.8,,0.3,,0.8,,5,,..,,118,,,
60,Oman,100,,0.0,,..,,0,,29,,..,,0.3,,0.9,,4.8,,10,,..,,117,,,
61,Georgia,100,,7.5,,301.0,,135,,67,,239,,2.2,,1.9,,12.3,,5,g,..,,114,,,
62,Costa Rica,100,,0.2,,..,,0,,44,,287,,11.3,,2.3,,12.8,,3,g,..,,123,,,
62,Malaysia,..,,1.2,,..,,0,,430,,178,,2.1,,3.6,,8.7,,..,,..,,121,,,
64,Kuwait,..,,1.3,,..,,..,,..,,148,,..,,1.7,,2.5,,..,,..,,141,,,
64,Serbia,99,,..,,..,,15,,100,,156,,1.2,,5.2,,17.3,,2,,..,,111,,,
66,Mauritius,..,,0.2,,..,,0,,..,,193,,2.9,,2.2,,12.5,,..,,..,,126,,,
,High human development,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Seychelles,..,,0.0,,..,,0,,..,,394,,12.5,,2.1,,15.0,,..,,..,,..,,,
67,Trinidad and Tobago,97,,0.3,,..,,0,,21,,288,,30.6,,4.3,,21.9,,8,g,..,,126,,,
69,Albania,98,,15.0,,..,,5,,22,,184,,2.3,,4.3,,7.0,,5,,11,,138,,,
70,Cuba,100,,6.6,,..,,"1,310",,91,,..,,5.0,,4.1,,16.4,,4,f,5,f,140,,,
70,Iran (Islamic Republic of),99,,129.7,,..,,33,,710,,293,,2.5,,3.1,,4.9,,..,,..,,129,,,
72,Sri Lanka,..,,110.4,,27.0,,"5,226",,300,,98,,2.4,,6.2,,23.3,,54,"f,g",..,,116,,,
73,Bosnia and Herzegovina,..,,16.6,,99.0,,0,,..,,84,,1.2,,2.5,,10.6,,1,,5,,130,,,
74,Grenada,..,,0.1,,..,,..,,..,,414,,10.8,,1.0,,2.1,,..,,..,,98,,,
74,Mexico,95,,14.6,,345.0,,40,,..,,156,,29.1,,2.3,,8.2,,6,,..,,130,,,
74,Saint Kitts and Nevis,..,,0.1,,..,,0,,..,,423,,..,,..,,..,,..,,..,,102,,,
74,Ukraine,100,,59.9,,730.0,,4,,660,,128,,6.2,,4.7,,34.5,,2,,2,,118,,,
78,Antigua and Barbuda,..,,0.1,,..,,0,,..,,318,,..,,0.9,,0.0,,..,,..,,99,,,
79,Peru,98,,2.8,,60.0,,190,,490,,284,,7.9,,2.7,,7.6,,..,,..,,118,,,
79,Thailand,100,,0.5,,41.0,,23,,990,,528,,2.6,,4.8,,21.4,,9,,9,,112,,,
81,Armenia,99,,11.0,,8.4,h,0,,39,,77,,1.7,,2.0,,10.1,,9,,25,,127,,,
82,North Macedonia,100,,1.8,,0.1,,0,,..,,108,,1.2,,3.0,,9.7,,14,g,..,,120,,,
