Back,Table 7. Population trends,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Population,,,,,,,,,,,,,,,,,,Dependency ratio,,,,,,,,,
,,Total,,,,Average annual growth ,,,, Urban,a,Under age 5,,Ages 15–64,,Ages 65 and older,,Median age,,(per 100 people ages 15–64),,,,Total fertility rate,,,,,
HDI rank,Country,(millions),,,,(%),,,,(%),,(millions),,,,,,(years),,Young age (0–14),,Old age (65 and older),,(births per woman),,,,,
,,2019,,2030,b,2005/2010,,2015/2020,,2019,,2019,,2019,,2019,,2020,,2019,,2019,,2005/2010,,2015/2020,,,
,Very high human development,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Norway,5.4,c,5.9,c,1.1,c,0.8,c,82.6,c,0.3,c,3.5,c,0.9,c,39.8,c,26.7,c,26.4,c,1.9,c,1.7,c,,
2,Ireland,4.9,,5.2,,1.9,,1.2,,63.4,,0.3,,3.2,,0.7,,38.2,,32.7,,22.0,,2.0,,1.8,,,
2,Switzerland,8.6,,9.2,,1.1,,0.8,,73.8,,0.4,,5.7,,1.6,,43.1,,22.6,,28.4,,1.5,,1.5,,,
4,"Hong Kong, China (SAR)",7.4,,8.0,,0.6,,0.8,,100.0,,0.3,,5.2,,1.3,,44.8,,17.6,,24.9,,1.0,,1.3,,,
4,Iceland,0.3,,0.4,,1.6,,0.7,,93.9,,0.0,,0.2,,0.1,,37.5,,30.2,,23.3,,2.1,,1.8,,,
6,Germany,83.5,,83.1,,-0.2,,0.5,,77.4,,4.0,,54.0,,18.0,,45.7,,21.3,,33.4,,1.4,,1.6,,,
7,Sweden,10.0,,10.6,,0.8,,0.7,,87.7,,0.6,,6.2,,2.0,,41.1,,28.3,,32.5,,1.9,,1.9,,,
8,Australia,25.2,d,28.2,d,1.9,d,1.3,d,86.1,d,1.7,d,16.3,d,4.0,d,37.9,d,29.7,d,24.6,d,2.0,d,1.8,d,,
8,Netherlands,17.1,,17.5,,0.4,,0.2,,91.9,,0.9,,11.0,,3.4,,43.3,,24.6,,30.4,,1.7,,1.7,,,
10,Denmark,5.8,,6.0,,0.5,,0.4,,88.0,,0.3,,3.7,,1.2,,42.3,,25.8,,31.4,,1.9,,1.8,,,
11,Finland,5.5,e,5.6,e,0.4,e,0.2,e,85.4,e,0.3,e,3.4,e,1.2,e,43.1,e,25.9,e,35.8,e,1.8,e,1.5,e,,
11,Singapore,5.8,,6.3,,3.7,,0.9,,100.0,,0.2,,4.4,,0.7,,42.2,,16.4,,16.5,,1.3,,1.2,,,
13,United Kingdom,67.5,,70.5,,1.0,,0.6,,83.7,,4.0,,43.1,,12.5,,40.5,,27.7,,29.0,,1.9,,1.8,,,
14,Belgium,11.5,,11.9,,0.7,,0.5,,98.0,,0.6,,7.4,,2.2,,41.9,,26.7,,29.7,,1.8,,1.7,,,
14,New Zealand,4.8,,5.2,,1.1,,0.9,,86.6,,0.3,,3.1,,0.8,,38.0,,30.4,,24.8,,2.1,,1.9,,,
16,Canada,37.4,,40.8,,1.2,,0.9,,81.5,,2.0,,24.9,,6.6,,41.1,,23.8,,26.5,,1.6,,1.5,,,
17,United States,329.1,,349.6,,0.9,,0.6,,82.5,,19.6,,214.7,,53.3,,38.3,,28.4,,24.8,,2.1,,1.8,,,
18,Austria,9.0,,9.2,,0.4,,0.7,,58.5,,0.4,,6.0,,1.7,,43.5,,21.6,,28.7,,1.4,,1.5,,,
19,Israel,8.5,,10.0,,2.4,,1.6,,92.5,,0.8,,5.1,,1.0,,30.5,,46.5,,20.4,,2.9,,3.0,,,
19,Japan,126.9,,120.8,,0.0,,-0.2,,91.7,,4.9,,75.4,,35.5,,48.4,,21.2,,47.1,,1.3,,1.4,,,
19,Liechtenstein,0.0,,0.0,,0.7,,0.4,,14.4,,..,,..,,..,,..,,..,,..,,..,,..,,,
22,Slovenia,2.1,,2.1,,0.5,,0.1,,54.8,,0.1,,1.3,,0.4,,44.5,,23.3,,31.2,,1.4,,1.6,,,
23,Korea (Republic of),51.2,,51.2,,0.3,,0.2,,81.4,,2.0,,37.0,,7.7,,43.7,,17.7,,20.9,,1.2,,1.1,,,
23,Luxembourg,0.6,,0.7,,2.1,,2.0,,91.2,,0.0,,0.4,,0.1,,39.7,,22.4,,20.4,,1.6,,1.5,,,
25,Spain,46.7,f,46.2,f,1.3,f,0.0,f,80.6,f,2.0,f,30.7,f,9.2,f,44.9,f,22.2,f,29.9,f,1.5,f,1.3,f,,
26,France,65.1,,66.7,,0.6,,0.3,,80.7,,3.7,,40.3,,13.3,,42.3,,28.8,,33.0,,2.0,,1.9,,,
27,Czechia,10.7,,10.7,,0.5,,0.2,,73.9,,0.6,,6.9,,2.1,,43.2,,24.4,,30.7,,1.4,,1.6,,,
28,Malta,0.4,,0.4,,0.5,,0.4,,94.7,,0.0,,0.3,,0.1,,42.6,,22.1,,32.1,,1.4,,1.5,,,
29,Estonia,1.3,,1.3,,-0.4,,0.2,,69.1,,0.1,,0.8,,0.3,,42.4,,25.9,,31.5,,1.7,,1.6,,,
29,Italy,60.6,,59.0,,0.4,,-0.0,,70.7,,2.4,,38.6,,13.9,,47.3,,20.6,,36.1,,1.4,,1.3,,,
31,United Arab Emirates,9.8,,10.7,,12.4,,1.3,,86.8,,0.5,,8.2,,0.1,,32.6,,17.5,,1.4,,2.0,,1.4,,,
32,Greece,10.5,,9.9,,-0.6,,-0.4,,79.4,,0.4,,6.7,,2.3,,45.6,,21.7,,34.2,,1.4,,1.3,,,
33,Cyprus,1.2,g,1.3,g,1.6,g,0.8,g,66.8,g,0.1,g,0.8,g,0.2,g,37.3,g,24.1,g,20.3,g,1.5,g,1.3,g,,
34,Lithuania,2.8,,2.5,,-1.4,,-1.5,,67.9,,0.1,,1.8,,0.6,,45.1,,23.4,,31.1,,1.4,,1.7,,,
35,Poland,37.9,,36.9,,-0.0,,-0.1,,60.0,,1.9,,25.3,,6.9,,41.7,,22.8,,27.2,,1.4,,1.4,,,
36,Andorra,0.1,,0.1,,1.4,,-0.2,,88.0,,..,,..,,..,,..,,..,,..,,..,,..,,,
37,Latvia,1.9,,1.7,,-1.2,,-1.1,,68.2,,0.1,,1.2,,0.4,,43.9,,25.7,,32.1,,1.5,,1.7,,,
38,Portugal,10.2,,9.9,,0.2,,-0.3,,65.8,,0.4,,6.6,,2.3,,46.2,,20.6,,34.7,,1.4,,1.3,,,
39,Slovakia,5.5,,5.4,,0.0,,0.1,,53.7,,0.3,,3.7,,0.9,,41.2,,22.7,,23.7,,1.3,,1.5,,,
40,Hungary,9.7,,9.3,,-0.3,,-0.2,,71.6,,0.5,,6.4,,1.9,,43.3,,21.9,,29.9,,1.3,,1.5,,,
40,Saudi Arabia,34.3,,39.3,,2.8,,1.9,,84.1,,3.0,,24.6,,1.2,,31.8,,34.7,,4.8,,3.2,,2.3,,,
42,Bahrain,1.6,,2.0,,6.7,,4.3,,89.4,,0.1,,1.3,,0.0,,32.5,,23.7,,3.2,,2.3,,2.0,,,
43,Chile,19.0,,19.5,,1.1,,1.2,,87.6,,1.2,,13.0,,2.3,,35.3,,28.4,,17.3,,1.9,,1.7,,,
43,Croatia,4.1,,3.9,,-0.2,,-0.6,,57.2,,0.2,,2.7,,0.9,,44.3,,22.6,,32.3,,1.5,,1.4,,,
45,Qatar,2.8,,3.3,,15.3,,2.3,,99.2,,0.1,,2.4,,0.0,,32.3,,16.0,,1.8,,2.2,,1.9,,,
46,Argentina,44.8,,49.1,,1.0,,1.0,,92.0,,3.7,,28.7,,5.0,,31.5,,38.3,,17.5,,2.4,,2.3,,,
47,Brunei Darussalam,0.4,,0.5,,1.2,,1.1,,77.9,,0.0,,0.3,,0.0,,32.3,,31.3,,7.2,,1.9,,1.8,,,
48,Montenegro,0.6,,0.6,,0.3,,0.0,,67.2,,0.0,,0.4,,0.1,,38.8,,27.3,,23.2,,1.8,,1.8,,,
49,Romania,19.4,,18.3,,-0.9,,-0.7,,54.1,,0.9,,12.7,,3.6,,43.2,,23.7,,28.6,,1.5,,1.6,,,
50,Palau,0.0,,0.0,,-1.9,,0.5,,80.5,,..,,..,,..,,..,,..,,..,,..,,..,,,
51,Kazakhstan,18.6,,20.6,,1.1,,1.3,,57.5,,1.9,,11.8,,1.4,,30.7,,45.5,,12.1,,2.5,,2.8,,,
52,Russian Federation,145.9,,143.3,,-0.0,,0.1,,74.6,,9.4,,97.4,,22.0,,39.6,,27.2,,22.6,,1.5,,1.8,,,
53,Belarus,9.5,,9.3,,-0.3,,0.0,,79.0,,0.6,,6.4,,1.4,,40.3,,25.1,,22.4,,1.4,,1.7,,,
54,Turkey,83.4,,89.2,,1.3,,1.4,,75.6,,6.7,,55.9,,7.3,,31.5,,36.3,,13.0,,2.2,,2.1,,,
55,Uruguay,3.5,,3.6,,0.2,,0.4,,95.4,,0.2,,2.2,,0.5,,35.8,,31.7,,23.1,,2.0,,2.0,,,
56,Bulgaria,7.0,,6.4,,-0.7,,-0.7,,75.3,,0.3,,4.5,,1.5,,44.6,,22.9,,33.2,,1.5,,1.6,,,
57,Panama,4.2,,4.9,,1.8,,1.7,,68.1,,0.4,,2.8,,0.4,,29.7,,41.3,,12.8,,2.6,,2.5,,,
58,Bahamas,0.4,,0.4,,1.8,,1.0,,83.1,,0.0,,0.3,,0.0,,32.3,,31.3,,10.6,,1.9,,1.8,,,
58,Barbados,0.3,,0.3,,0.4,,0.1,,31.2,,0.0,,0.2,,0.0,,40.5,,25.6,,24.3,,1.8,,1.6,,,
60,Oman,5.0,,5.9,,3.8,,3.6,,85.4,,0.5,,3.7,,0.1,,30.6,,29.8,,3.3,,2.9,,2.9,,,
61,Georgia,4.0,h,3.9,h,-0.5,h,-0.2,h,59.0,h,0.3,h,2.6,h,0.6,h,38.3,h,30.9,h,23.2,h,1.8,h,2.1,h,,
62,Costa Rica,5.0,,5.5,,1.3,,1.0,,80.1,,0.4,,3.5,,0.5,,33.5,,30.5,,14.3,,1.9,,1.8,,,
62,Malaysia,31.9,i,36.1,i,1.9,i,1.3,i,76.6,i,2.6,i,22.2,i,2.2,i,30.3,i,34.2,i,10.0,i,2.2,i,2.0,i,,
64,Kuwait,4.2,,4.7,,5.5,,2.1,,100.0,,0.3,,3.2,,0.1,,36.8,,28.5,,3.7,,2.4,,2.1,,,
64,Serbia,8.8,j,8.3,j,-0.4,j,-0.3,j,56.3,j,0.4,j,5.8,j,1.6,j,41.6,j,23.6,j,28.5,j,1.6,j,1.5,j,,
66,Mauritius,1.3,k,1.3,k,0.4,k,0.2,k,40.8,k,0.1,k,0.9,k,0.2,k,37.5,k,24.4,k,17.0,k,1.7,k,1.4,k,,
,High human development,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Seychelles,0.1,,0.1,,0.6,,0.7,,57.1,,0.0,,0.1,,0.0,,34.2,,34.7,,11.4,,2.3,,2.5,,,
67,Trinidad and Tobago,1.4,,1.4,,0.5,,0.4,,53.2,,0.1,,1.0,,0.2,,36.2,,29.5,,16.2,,1.8,,1.7,,,
69,Albania,2.9,,2.8,,-0.9,,-0.1,,61.2,,0.2,,2.0,,0.4,,36.4,,25.4,,20.8,,1.6,,1.6,,,
70,Cuba,11.3,,11.1,,-0.1,,0.0,,77.1,,0.6,,7.8,,1.8,,42.2,,23.5,,22.8,,1.6,,1.6,,,
