Back,Table 9. Education achievements,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,SDG4.6,,SDG4.6,,,,SDG4.4,,SDG4.2,,SDG4.1,,SDG4.1,,SDG4.3,,,,,,SDG1.a,
,,Literacy rate,,,,,, ,,Gross enrolment ratio,,,,,,,,,,,,,
,,Adult                                 (% ages 15 and older),,"Youth
(% ages 15–24)",,,,Population with at least some secondary education,,Pre-primary,,Primary,, Secondary,,Tertiary,,Primary school dropout rate,,Survival rate to the last grade of lower secondary general education,,Government expenditure on education,
HDI rank,Country,,,Female,,Male,,(% ages 25 and older),,(% of preschool-age children),,(% of primary school–age population),,(% of secondary school–age population),,(% of tertiary school–age population),,(% of primary school cohort),, (%),, (% of GDP),
,,2008-2018,a,2008-2018,a,2008-2018,a,2015-2019,a,2014-2019,a,2014-2019,a,2014-2019,a,2014-2019,a,2008-2018,a,2008-2018,a,2013-2018,a
,VERY HIGH HUMAN DEVELOPMENT,,,,,,,,,,,,,,,,,,,,,,
1,Norway,..,,..,,..,,94.9,,95,,100,,117,,82,,0.9,,99,,8.0,
2,Ireland,..,,..,,..,,81.1,b,163,,101,,125,,78,,..,,99,,3.7,
2,Switzerland,..,,..,,..,,96.1,,104,,105,,102,,60,,0.4,,99,,5.1,
4,"Hong Kong, China (SAR)",..,,..,,..,,79.4,,106,,109,,107,,77,,1.3,,99,,3.3,
4,Iceland,..,,..,,..,,100.0,b,94,,100,,118,,72,,2.1,,99,,7.5,
6,Germany,..,,..,,..,,96.1,,109,,104,,98,,70,,3.5,,..,,4.8,
7,Sweden,..,,..,,..,,89.3,,96,,127,,153,,67,,0.4,,99,,7.7,
8,Australia,..,,..,,..,,91.0,,165,,100,,150,,113,,..,,..,,5.3,
8,Netherlands,..,,..,,..,,88.9,,94,,104,,136,,85,,..,,..,,5.5,
10,Denmark,..,,..,,..,,90.9,,96,,101,,129,,81,,0.2,,100,,7.6,
