indicator_value__|,indicator_value__|__69206__1990,indicator_value__|__69206__1991,indicator_value__|__69206__1992,indicator_value__|__69206__1993,indicator_value__|__69206__1994,indicator_value__|__69206__1995,indicator_value__|__69206__1996,indicator_value__|__69206__1997,indicator_value__|__69206__1998,indicator_value__|__69206__1999,indicator_value__|__69206__2000,indicator_value__|__69206__2001,indicator_value__|__69206__2002,indicator_value__|__69206__2003,indicator_value__|__69206__2004,indicator_value__|__69206__2005,indicator_value__|__69206__2006,indicator_value__|__69206__2007,indicator_value__|__69206__2008,indicator_value__|__69206__2009,indicator_value__|__69206__2010,indicator_value__|__69206__2011,indicator_value__|__69206__2012,indicator_value__|__69206__2013,indicator_value__|__69206__2014,indicator_value__|__69206__2015,indicator_value__|__69206__2016,indicator_value__|__69206__2017,indicator_value__|__69206__2018,indicator_value__|__69206__2019
AFG,50.331,50.999,51.641,52.256,52.842,53.398,53.924,54.424,54.906,55.376,55.841,56.308,56.784,57.271,57.772,58.29,58.826,59.375,59.93,60.484,61.028,61.553,62.054,62.525,62.966,63.377,63.763,64.13,64.486,64.83
AGO,45.306,45.271,45.23,45.201,45.201,45.246,45.35,45.519,45.763,46.093,46.522,47.059,47.702,48.44,49.263,50.165,51.143,52.177,53.243,54.311,55.35,56.33,57.236,58.054,58.776,59.398,59.925,60.379,60.782,61.15
ALB,71.836,71.803,71.802,71.86,71.992,72.205,72.495,72.838,73.208,73.587,73.955,74.288,74.579,74.828,75.039,75.228,75.423,75.646,75.912,76.221,76.562,76.914,77.252,77.554,77.813,78.025,78.194,78.333,78.458,78.57
AND,76.517,76.682,76.854,77.03,77.213,77.414,77.644,77.909,78.207,78.531,78.867,79.198,79.505,79.776,80.005,80.192,80.343,80.471,80.589,80.703,80.818,80.935,81.054,81.173,81.294,81.416,81.54,81.663,81.786,81.91
ARE,71.939,72.208,72.466,72.715,72.957,73.194,73.428,73.657,73.883,74.106,74.327,74.544,74.758,74.968,75.174,75.376,75.573,75.767,75.957,76.145,76.332,76.521,76.711,76.903,77.095,77.285,77.47,77.647,77.814,77.97
ARG,71.594,71.813,72.032,72.246,72.453,72.651,72.843,73.029,73.213,73.396,73.576,73.755,73.932,74.107,74.28,74.451,74.62,74.787,74.952,75.116,75.278,75.439,75.598,75.756,75.913,76.068,76.221,76.372,76.52,76.67
ARM,67.879,67.87,67.99,68.218,68.538,68.938,69.404,69.912,70.434,70.944,71.409,71.8,72.112,72.348,72.513,72.626,72.716,72.815,72.946,73.118,73.331,73.572,73.82,74.056,74.273,74.467,74.64,74.797,74.945,75.09
ATG,71.52,71.765,72.006,72.247,72.489,72.732,72.977,73.222,73.465,73.705,73.94,74.171,74.395,74.613,74.821,75.019,75.204,75.376,75.535,75.683,75.823,75.956,76.087,76.218,76.349,76.483,76.617,76.752,76.885,77.02
AUS,76.933,77.223,77.505,77.772,78.024,78.267,78.508,78.759,79.024,79.302,79.592,79.886,80.174,80.451,80.711,80.952,81.174,81.381,81.577,81.764,81.944,82.119,82.291,82.46,82.627,82.794,82.959,83.122,83.281,83.44
AUT,75.596,75.83,76.063,76.304,76.557,76.823,77.101,77.386,77.672,77.957,78.239,78.518,78.791,79.059,79.318,79.567,79.806,80.032,80.246,80.444,80.622,80.776,80.906,81.013,81.103,81.182,81.258,81.34,81.434,81.54
AZE,64.827,64.745,64.731,64.81,64.991,65.256,65.573,65.899,66.207,66.491,66.763,67.054,67.391,67.791,68.249,68.747,69.259,69.752,70.201,70.597,70.938,71.234,71.506,71.768,72.022,72.266,72.493,72.693,72.864,73.01
BDI,47.829,47.522,47.212,46.953,46.786,46.758,46.905,47.226,47.708,48.339,49.091,49.93,50.81,51.69,52.547,53.369,54.163,54.944,55.721,56.488,57.228,57.925,58.568,59.148,59.665,60.123,60.528,60.898,61.247,61.58
BEL,75.862,76.085,76.299,76.507,76.709,76.907,77.101,77.292,77.481,77.672,77.867,78.071,78.285,78.509,78.74,78.975,79.211,79.441,79.662,79.873,80.072,80.261,80.444,80.622,80.797,80.969,81.139,81.305,81.468,81.63
BEN,53.812,54.366,54.776,55.042,55.174,55.203,55.17,55.133,55.139,55.218,55.391,55.668,56.025,56.436,56.887,57.355,57.817,58.255,58.654,59.009,59.318,59.59,59.842,60.092,60.345,60.608,60.885,61.174,61.47,61.77
BFA,49.454,49.409,49.374,49.36,49.38,49.445,49.557,49.713,49.914,50.168,50.489,50.893,51.384,51.956,52.602,53.31,54.063,54.841,55.618,56.377,57.096,57.761,58.374,58.937,59.45,59.919,60.354,60.768,61.174,61.58
BGD,58.21,58.891,59.618,60.388,61.19,62.002,62.798,63.553,64.25,64.881,65.447,65.956,66.43,66.886,67.331,67.773,68.213,68.648,69.072,69.485,69.881,70.256,70.606,70.93,71.231,71.514,71.785,72.052,72.32,72.59
BGR,71.275,71.206,71.125,71.044,70.974,70.932,70.937,70.997,71.114,71.285,71.501,71.744,71.994,72.237,72.463,72.673,72.874,73.077,73.287,73.504,73.722,73.932,74.126,74.3,74.451,74.584,74.703,74.815,74.928,75.05
