indicator_value__|,indicator_value__|__103006__1990,indicator_value__|__103006__1991,indicator_value__|__103006__1992,indicator_value__|__103006__1993,indicator_value__|__103006__1994,indicator_value__|__103006__1995,indicator_value__|__103006__1996,indicator_value__|__103006__1997,indicator_value__|__103006__1998,indicator_value__|__103006__1999,indicator_value__|__103006__2000,indicator_value__|__103006__2001,indicator_value__|__103006__2002,indicator_value__|__103006__2003,indicator_value__|__103006__2004,indicator_value__|__103006__2005,indicator_value__|__103006__2006,indicator_value__|__103006__2007,indicator_value__|__103006__2008,indicator_value__|__103006__2009,indicator_value__|__103006__2010,indicator_value__|__103006__2011,indicator_value__|__103006__2012,indicator_value__|__103006__2013,indicator_value__|__103006__2014,indicator_value__|__103006__2015,indicator_value__|__103006__2016,indicator_value__|__103006__2017,indicator_value__|__103006__2018,indicator_value__|__103006__2019
AFG,1.49,1.564,1.638,1.712,1.786,1.86,1.92,1.98,2.04,2.1,2.16,2.248,2.336,2.424,2.512,2.6,2.726,2.852,2.978,3.104,3.23,3.31,3.39,3.47,3.55,3.63,3.63,3.78,3.93,3.93
AGO,,,,,,,,,,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.481,4.542,4.604,4.665,4.726,4.726,4.788,4.851,4.915,4.98,5.1,5.125,5.174,5.174
ALB,7.83,7.828,7.826,7.824,7.822,8.027,8.175,8.323,8.471,8.619,8.767,8.727,8.967,9.02,9.072,9.124,9.177,9.229,9.208,9.287,9.292,9.958,10.025,10.025,10.025,10.025,10.025,10.055,10.055,10.146
AND,,,,,,,,,,,9.894,9.894,9.894,10.134,10.515,9.894,10.213,10.251,10.288,10.326,10.364,10.402,10.439,10.477,10.515,10.59,10.59,10.519,10.502,10.502
ARE,5.623,5.915,6.207,6.5,6.792,7.084,7.323,7.562,7.802,8.041,8.28,8.424,8.569,8.713,8.858,9.119,9.272,9.425,9.578,9.731,9.883,10.036,10.189,10.342,10.495,10.648,10.923,12.111,12.111,12.111
ARG,7.862,7.954,8.046,8.138,8.23,8.322,8.472,8.621,8.771,8.92,9.07,9.136,9.202,9.268,9.187,9.106,10.282,10.295,10.308,10.321,10.334,10.347,10.36,10.373,10.387,10.446,10.505,10.565,10.565,10.941
ARM,10.08,10.152,10.224,10.296,10.368,10.44,10.514,10.588,10.662,10.736,10.81,10.714,10.759,10.804,10.848,10.893,10.938,10.983,11.028,11.072,11.117,11.162,11.263,11.364,11.465,11.7,11.501,11.302,11.302,11.302
ATG,,,,,,,,,,,7.026,8.911,8.963,9.014,9.066,9.118,9.17,9.221,9.273,9.325,9.236,8.99,9.035,9.08,9.126,9.171,9.217,9.263,9.294,9.294
AUS,11.734,11.753,11.773,11.792,11.812,11.831,11.837,11.843,11.85,11.856,11.862,11.877,11.837,11.798,11.759,11.2,11.292,11.369,12.429,12.478,12.578,12.66,12.85,12.18,12.254,12.532,12.58,12.683,12.683,12.725
AUT,8.64,8.686,8.732,8.778,8.824,8.87,8.904,8.938,8.972,9.006,9.04,9.219,9.399,9.578,9.758,9.937,10.117,11.598,11.534,11.743,11.784,11.78,11.822,11.859,12.439,12.561,12.559,12.559,12.559,12.546
AZE,,,,,,10.211,10.295,10.379,10.463,10.547,10.568,10.588,10.609,10.629,10.649,10.67,10.69,10.194,10.168,10.452,10.465,10.498,10.502,10.507,10.508,10.507,10.507,10.586,10.575,10.575
BDI,1.44,1.47,1.5,1.53,1.56,1.59,1.64,1.69,1.74,1.79,1.84,1.928,2.016,2.104,2.192,2.28,2.36,2.44,2.52,2.6,2.572,2.638,2.704,2.77,2.836,2.903,2.969,2.969,3.124,3.288
BEL,9.39,9.455,9.52,9.585,9.65,9.715,9.781,9.847,9.912,9.978,10.043,10.153,10.263,10.372,10.482,10.67,11.083,11.136,10.956,11.09,11.137,11.196,11.226,11.393,11.485,11.69,11.784,12.012,12.012,12.05
BEN,1.62,1.726,1.832,1.938,2.044,2.15,2.234,2.318,2.402,2.486,2.57,2.649,2.728,2.737,2.745,2.754,2.762,2.77,2.779,2.787,2.796,2.804,2.981,3.157,3.334,3.51,3.649,3.649,3.774,3.826
BFA,,,,,,,,,,,1.245,1.257,1.27,1.283,1.295,1.308,1.321,1.334,1.348,1.361,1.374,1.387,1.374,1.378,1.373,1.416,1.472,1.529,1.586,1.644
BGD,2.84,2.93,3.02,3.11,3.2,3.29,3.45,3.61,3.77,3.93,4.09,4.25,4.323,4.397,4.47,4.543,4.617,4.69,4.763,4.837,5.267,5.697,5.811,5.524,5.174,5.783,5.908,6.062,6.062,6.219
BGR,8.862,8.949,9.037,9.124,9.211,9.298,9.346,9.394,9.441,9.489,9.537,9.922,9.994,10.065,10.137,10.208,10.525,10.646,10.689,10.742,10.817,10.873,10.984,11.097,11.145,11.278,11.32,11.36,11.36,11.36
BHR,6.033,6.257,6.48,6.704,6.927,7.151,7.387,7.623,7.858,8.094,8.33,8.38,8.384,8.388,8.392,8.396,8.4,8.404,8.408,8.411,8.415,8.596,8.777,8.958,9.139,9.32,9.412,9.412,9.412,9.519
BHS,,,,,,,,,,,10.942,10.942,10.942,10.941,10.941,10.94,11.083,11.194,11.306,11.419,11.533,11.455,11.377,11.299,11.221,11.292,11.363,11.387,11.412,11.437
BIH,,,,,,,,,,,7.014,7.084,7.155,7.227,7.299,7.373,7.447,7.521,7.597,7.673,7.083,7.208,8.339,8.747,8.918,9.008,9.705,9.761,9.818,9.818
BLR,,,,,,8.541,8.614,8.688,8.763,8.838,8.913,8.989,9.064,9.139,9.215,9.29,9.953,10.615,11.278,11.941,11.953,11.965,11.977,12.049,12.12,12.192,12.264,12.264,12.306,12.306
BLZ,5.868,5.868,5.997,6.127,6.257,6.387,6.517,6.656,6.794,6.933,7.071,7.21,7.315,7.421,7.526,7.632,7.881,8.137,8.402,8.676,9.526,9.073,9.19,9.308,9.428,9.549,9.672,9.796,9.796,9.922
BOL,6.408,6.548,6.687,6.827,6.966,7.106,7.174,7.242,7.309,7.377,7.445,7.27,7.206,7.142,7.078,7.014,7.295,7.098,7.585,7.673,7.754,7.977,8.026,8.395,8.525,8.683,8.761,8.915,9.018,9.018
BRA,3.751,3.928,4.104,4.281,4.457,4.634,4.821,5.007,5.194,5.38,5.567,5.773,5.979,6.186,6.237,6.303,6.369,6.549,6.722,6.824,6.944,7.065,7.277,7.353,7.447,7.576,7.707,7.841,7.841,7.981
BRB,8.088,8.188,8.288,8.387,8.487,8.587,8.606,8.625,8.643,8.662,8.994,9.033,9.073,9.112,9.151,9.19,9.224,9.258,9.292,9.326,9.36,9.908,10.457,10.482,10.507,10.532,10.557,10.557,10.557,10.642
BRN,7.51,7.62,7.73,7.84,7.95,8.06,8.106,8.152,8.198,8.244,8.29,8.328,8.366,8.404,8.442,8.48,8.538,8.596,8.654,8.712,8.77,8.82,8.87,8.92,8.97,9.02,9.06,9.06,9.1,9.14
BTN,,,,,,,,,,,,,,,,2.3,2.301,2.302,2.303,2.304,2.305,2.306,2.504,2.818,3.132,3.446,3.76,4.074,4.074,4.074
BWA,5.52,5.758,5.996,6.234,6.472,6.71,6.89,7.07,7.25,7.43,7.61,7.744,7.878,8.012,8.146,8.28,8.398,8.516,8.634,8.752,8.87,8.947,9.023,9.1,9.177,9.234,9.253,9.33,9.403,9.56
CAF,2.06,2.134,2.208,2.282,2.356,2.43,2.516,2.602,2.688,2.774,2.86,2.94,3.02,3.1,3.18,3.26,3.322,3.384,3.446,3.508,3.57,3.702,3.834,3.966,4.098,4.23,4.256,4.256,4.282,4.282
