"indicator_value__|","indicator_value__|__44206__1990","indicator_value__|__44206__1995","indicator_value__|__44206__2000","indicator_value__|__44206__2005","indicator_value__|__44206__2010","indicator_value__|__44206__2011","indicator_value__|__44206__2012","indicator_value__|__44206__2013","indicator_value__|__44206__2014","indicator_value__|__44206__2015","indicator_value__|__44206__2016","indicator_value__|__44206__2017","indicator_value__|__44206__2018","indicator_value__|__44206__2019","indicator_value__|__44206__2030","country_name__AFG","country_name__AGO","country_name__ALB","country_name__AND","country_name__ARE","country_name__ARG","country_name__ARM","country_name__ATG","country_name__AUS","country_name__AUT","country_name__AZE","country_name__BDI","country_name__BEL","country_name__BEN","country_name__BFA","country_name__BGD","country_name__BGR","country_name__BHR","country_name__BHS","country_name__BIH","country_name__BLR","country_name__BLZ","country_name__BOL","country_name__BRA","country_name__BRB","country_name__BRN","country_name__BTN","country_name__BWA","country_name__CAF","country_name__CAN","country_name__CHE","country_name__CHL","country_name__CHN","country_name__CIV","country_name__CMR","country_name__COD","country_name__COG","country_name__COL","country_name__COM","country_name__CPV","country_name__CRI","country_name__CUB","country_name__CYP","country_name__CZE","country_name__DEU","country_name__DJI","country_name__DMA","country_name__DNK","country_name__DOM","country_name__DZA","country_name__ECU","country_name__EGY","country_name__ERI","country_name__ESP","country_name__EST","country_name__ETH","country_name__FIN","country_name__FJI","country_name__FRA","country_name__FSM","country_name__GAB","country_name__GBR","country_name__GEO","country_name__GHA","country_name__GIN","country_name__GMB","country_name__GNB","country_name__GNQ","country_name__GRC","country_name__GRD","country_name__GTM","country_name__GUY","country_name__HKG","country_name__HND","country_name__HRV","country_name__HTI","country_name__HUN","country_name__IDN","country_name__IND","country_name__IRL","country_name__IRN","country_name__IRQ","country_name__ISL","country_name__ISR","country_name__ITA","country_name__JAM","country_name__JOR","country_name__JPN","country_name__KAZ","country_name__KEN","country_name__KGZ","country_name__KHM","country_name__KIR","country_name__KNA","country_name__KOR","country_name__KWT","country_name__LAO","country_name__LBN","country_name__LBR","country_name__LBY","country_name__LCA","country_name__LIE","country_name__LKA","country_name__LSO","country_name__LTU","country_name__LUX","country_name__LVA","country_name__MAR","country_name__MCO","country_name__MDA","country_name__MDG","country_name__MDV","country_name__MEX","country_name__MHL","country_name__MKD","country_name__MLI","country_name__MLT","country_name__MMR","country_name__MNE","country_name__MNG","country_name__MOZ","country_name__MRT","country_name__MUS","country_name__MWI","country_name__MYS","country_name__NAM","country_name__NER","country_name__NGA","country_name__NIC","country_name__NLD","country_name__NOR","country_name__NPL","country_name__NRU","country_name__NZL","country_name__OMN","country_name__PAK","country_name__PAN","country_name__PER","country_name__PHL","country_name__PLW","country_name__PNG","country_name__POL","country_name__PRK","country_name__PRT","country_name__PRY","country_name__PSE","country_name__QAT","country_name__ROU","country_name__RUS","country_name__RWA","country_name__SAU","country_name__SDN","country_name__SEN","country_name__SGP","country_name__SLB","country_name__SLE","country_name__SLV","country_name__SMR","country_name__SOM","country_name__SRB","country_name__SSD","country_name__STP","country_name__SUR","country_name__SVK","country_name__SVN","country_name__SWE","country_name__SWZ","country_name__SYC","country_name__SYR","country_name__TCD","country_name__TGO","country_name__THA","country_name__TJK","country_name__TKM","country_name__TLS","country_name__TON","country_name__TTO","country_name__TUN","country_name__TUR","country_name__TUV","country_name__TZA","country_name__UGA","country_name__UKR","country_name__URY","country_name__USA","country_name__UZB","country_name__VCT","country_name__VEN","country_name__VNM","country_name__VUT","country_name__WSM","country_name__YEM","country_name__ZAF","country_name__ZMB","country_name__ZWE","indicator_name__44206"
"AFG","12.412","18.111","20.78","25.654","29.186","30.117","31.161","32.27","33.371","34.414","35.383","36.296","37.172","38.042","48.094","Afghanistan","Angola","Albania","Andorra","United Arab Emirates","Argentina","Armenia","Antigua and Barbuda","Australia","Austria","Azerbaijan","Burundi","Belgium","Benin","Burkina Faso","Bangladesh","Bulgaria","Bahrain","Bahamas","Bosnia and Herzegovina","Belarus","Belize","Bolivia (Plurinational State of)","Brazil","Barbados","Brunei Darussalam","Bhutan","Botswana","Central African Republic","Canada","Switzerland","Chile","China","Cote d'Ivoire","Cameroon","Congo (Democratic Republic of the)","Congo","Colombia","Comoros","Cabo Verde","Costa Rica","Cuba","Cyprus","Czechia","Germany","Djibouti","Dominica","Denmark","Dominican Republic","Algeria","Ecuador","Egypt","Eritrea","Spain","Estonia","Ethiopia","Finland","Fiji","France","Micronesia (Federated States of)","Gabon","United Kingdom","Georgia","Ghana","Guinea","Gambia","Guinea-Bissau","Equatorial Guinea","Greece","Grenada","Guatemala","Guyana","Hong Kong, China (SAR)","Honduras","Croatia","Haiti","Hungary","Indonesia","India","Ireland","Iran (Islamic Republic of)","Iraq","Iceland","Israel","Italy","Jamaica","Jordan","Japan","Kazakhstan","Kenya","Kyrgyzstan","Cambodia","Kiribati","Saint Kitts and Nevis","Korea (Republic of)","Kuwait","Lao People's Democratic Republic","Lebanon","Liberia","Libya","Saint Lucia","Liechtenstein","Sri Lanka","Lesotho","Lithuania","Luxembourg","Latvia","Morocco","Monaco","Moldova (Republic of)","Madagascar","Maldives","Mexico","Marshall Islands","North Macedonia","Mali","Malta","Myanmar","Montenegro","Mongolia","Mozambique","Mauritania","Mauritius","Malawi","Malaysia","Namibia","Niger","Nigeria","Nicaragua","Netherlands","Norway","Nepal","Nauru","New Zealand","Oman","Pakistan","Panama","Peru","Philippines","Palau","Papua New Guinea","Poland","Korea (Democratic People's Rep. of)","Portugal","Paraguay","Palestine, State of","Qatar","Romania","Russian Federation","Rwanda","Saudi Arabia","Sudan","Senegal","Singapore","Solomon Islands","Sierra Leone","El Salvador","San Marino","Somalia","Serbia","South Sudan","Sao Tome and Principe","Suriname","Slovakia","Slovenia","Sweden","Eswatini (Kingdom of)","Seychelles","Syrian Arab Republic","Chad","Togo","Thailand","Tajikistan","Turkmenistan","Timor-Leste","Tonga","Trinidad and Tobago","Tunisia","Turkey","Tuvalu","Tanzania (United Republic of)","Uganda","Ukraine","Uruguay","United States","Uzbekistan","Saint Vincent and the Grenadines","Venezuela (Bolivarian Republic of)","Viet Nam","Vanuatu","Samoa","Yemen","South Africa","Zambia","Zimbabwe","Total population (millions)"
"AGO","11.848","13.945","16.395","19.434","23.356","24.221","25.108","26.016","26.942","27.884","28.842","29.817","30.81","31.825","44.835","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ALB","3.286","3.113","3.129","3.087","2.948","2.929","2.914","2.904","2.896","2.891","2.886","2.884","2.883","2.881","2.787","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AND","0.055","0.064","0.065","0.079","0.084","0.084","0.082","0.081","0.079","0.078","0.077","0.077","0.077","0.077","0.078","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ARE","1.828","2.415","3.134","4.588","8.55","8.947","9.142","9.198","9.214","9.263","9.361","9.487","9.631","9.771","10.661","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ARG","32.619","34.828","36.871","38.893","40.896","41.32","41.755","42.196","42.638","43.075","43.508","43.937","44.361","44.781","49.056","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ARM","3.538","3.217","3.07","2.981","2.877","2.877","2.884","2.898","2.912","2.926","2.936","2.945","2.952","2.958","2.967","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ATG","0.063","0.069","0.076","0.081","0.088","0.089","0.09","0.092","0.093","0.094","0.095","0.095","0.096","0.097","0.105","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AUS","16.961","17.993","18.991","20.179","22.155","22.538","22.904","23.255","23.596","23.932","24.263","24.585","24.898","25.203","28.177","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AUT","7.724","7.99","8.069","8.254","8.41","8.454","8.502","8.556","8.615","8.679","8.747","8.82","8.891","8.955","9.176","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
