|,|__44206__1990,|__44206__1991,|__44206__1992,|__44206__1993,|__44206__1994,|__44206__1995,|__44206__1996,|__44206__1997,|__44206__1998,|__44206__1999,|__44206__2000,|__44206__2001,|__44206__2002,|__44206__2003,|__44206__2004,|__44206__2005,|__44206__2006,|__44206__2007,|__44206__2008,|__44206__2009,|__44206__2010,|__44206__2011,|__44206__2012,|__44206__2013,|__44206__2014,|__44206__2015,|__44206__2016,|__44206__2017,|__44206__2018,|__44206__2019
AFG,12.412,13.82,14.334,15.56,16.412,18.111,18.111,18.111,18.111,18.111,20.78,21.78,22.78,23.78,24.78,25.654,26.654,27.654,27.654,28.654,29.186,30.117,31.161,32.27,33.371,34.414,35.383,36.296,37.172,38.042
AGO,11.848,,,,,13.945,,,,,16.395,,,,,19.434,,,,,23.356,24.221,25.108,26.016,26.942,27.884,28.842,29.817,30.81,31.825
ALB,3.286,,,,,3.113,,,,,3.129,,,,,3.087,,,,,2.948,2.929,2.914,2.904,2.896,2.891,2.886,2.884,2.883,2.881
AND,0.055,,,,,0.064,,,,,0.065,,,,,0.079,,,,,0.084,0.084,0.082,0.081,0.079,0.078,0.077,0.077,0.077,0.077
ARE,1.828,,,,,2.415,,,,,3.134,,,,,4.588,,,,,8.55,8.947,9.142,9.198,9.214,9.263,9.361,9.487,9.631,9.771
ARG,32.619,,,,,34.828,,,,,36.871,,,,,38.893,,,,,40.896,41.32,41.755,42.196,42.638,43.075,43.508,43.937,44.361,44.781
ARM,3.538,,,,,3.217,,,,,3.07,,,,,2.981,,,,,2.877,2.877,2.884,2.898,2.912,2.926,2.936,2.945,2.952,2.958
ATG,0.063,,,,,0.069,,,,,0.076,,,,,0.081,,,,,0.088,0.089,0.09,0.092,0.093,0.094,0.095,0.095,0.096,0.097
AUS,16.961,,,,,17.993,,,,,18.991,,,,,20.179,,,,,22.155,22.538,22.904,23.255,23.596,23.932,24.263,24.585,24.898,25.203
AUT,7.724,,,,,7.99,,,,,8.069,,,,,8.254,,,,,8.41,8.454,8.502,8.556,8.615,8.679,8.747,8.82,8.891,8.955
AZE,7.243,,,,,7.775,,,,,8.123,,,,,8.539,,,,,9.032,9.146,9.265,9.385,9.506,9.623,9.736,9.845,9.95,10.048
BDI,5.439,,,,,5.987,,,,,6.379,,,,,7.365,,,,,8.676,8.958,9.246,9.54,9.844,10.16,10.488,10.827,11.175,11.531
BEL,10.007,,,,,10.186,,,,,10.282,,,,,10.547,,,,,10.939,11.014,11.085,11.154,11.221,11.288,11.354,11.42,11.482,11.539
BEN,4.978,,,,,5.906,,,,,6.866,,,,,7.982,,,,,9.199,9.461,9.729,10.005,10.287,10.576,10.872,11.175,11.485,11.801
BFA,8.811,,,,,10.09,,,,,11.608,,,,,13.422,,,,,15.605,16.082,16.571,17.073,17.586,18.111,18.646,19.193,19.751,20.321
BGD,103.172,,,,,115.17,,,,,127.658,,,,,139.036,,,,,147.575,149.273,151.006,152.761,154.517,156.256,157.977,159.685,161.377,163.046
BGR,8.841,,,,,8.379,,,,,7.998,,,,,7.687,,,,,7.425,7.379,7.334,7.29,7.246,7.2,7.152,7.102,7.052,7
BHR,0.496,,,,,0.564,,,,,0.665,,,,,0.889,,,,,1.241,1.278,1.3,1.315,1.336,1.372,1.426,1.494,1.569,1.641
BHS,0.256,,,,,0.28,,,,,0.298,,,,,0.325,,,,,0.355,0.36,0.364,0.367,0.371,0.374,0.378,0.382,0.386,0.389
BIH,4.463,,,,,3.829,,,,,3.751,,,,,3.765,,,,,3.705,3.661,3.605,3.543,3.482,3.429,3.386,3.352,3.324,3.301
BLR,10.151,,,,,10.078,,,,,9.872,,,,,9.562,,,,,9.421,9.415,9.417,9.424,9.432,9.439,9.446,9.45,9.453,9.452
