indicator_value__|,1990,indicator_value__|__140606__1991,1992,1993,1994,indicator_value__|__140606__1995,1996,1997,1998,1999,indicator_value__|__140606__2000,2001,2002,2003,2004,indicator_value__|__140606__2005,2006,2007,2008,2009,indicator_value__|__140606__2010,indicator_value__|__140606__2011,indicator_value__|__140606__2012,indicator_value__|__140606__2013,indicator_value__|__140606__2014,indicator_value__|__140606__2015,indicator_value__|__140606__2016,indicator_value__|__140606__2017,indicator_value__|__140606__2018,indicator_value__|__140606__2019
AFG,,11.218,,,,11.477,,,,,11.517,,,,,11.429,,,,,11.484,11.488,11.508,11.534,11.448,11.387,11.313,11.184,11.057,11.118
AGO,,3.708,,,,3.819,,,,,3.837,,,,,3.8,,,,,9.43,7.362,7.379,7.4,7.331,7.282,7.223,7.119,7.019,6.886
ALB,,16.19,,,,16.522,,,,,16.573,,,,,16.46,,,,,14.086,13.481,13.376,15.866,17.49,17.08,15.22,13.75,12.34,12.331
ARE,,1.58,,,,1.8,,,,,2.25,,,,,3.12,,,,,2.533,2.496,2.509,2.576,2.212,1.91,1.636,2.463,2.229,2.348
ARG,,5.44,,,,18.8,,,,,15,,,,,11.506,,,,,7.714,7.18,7.217,7.1,7.268,7.75,7.977,8.347,9.22,9.789
ARM,,1.6,,,,6.7,,,,,11.054,,,,,10.393,,,,,19.008,18.443,17.301,16.179,17.498,18.261,17.617,17.705,17.496,16.99
AUS,,9.579,,,,8.469,,,,,6.283,,,,,5.032,,,,,5.211,5.081,5.224,5.662,6.077,6.054,5.71,5.591,5.298,5.268
AUT,,3.42,,,,4.347,,,,,4.687,,,,,5.628,,,,,4.82,4.564,4.865,5.335,5.62,5.723,6.014,5.499,4.848,4.674
AZE,,0.9,,,,7.2,,,,,11.8,,,,,7.3,,,,,5.63,5.42,5.19,4.97,4.91,4.96,5,5,4.9,5.509
BDI,,1.744,,,,1.861,,,,,1.876,,,,,1.832,,,,,1.76,1.715,1.678,1.644,1.572,1.552,1.528,1.487,1.448,1.427
BEL,,6.986,,,,9.339,,,,,6.586,,,,,8.44,,,,,8.292,7.14,7.542,8.425,8.523,8.482,7.83,7.086,5.948,5.589
